name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,IsData,generator,additionalSelection,isreHLT
ttbar,/TT_TuneCUETP8M1_13TeV-powheg-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext4-v1/MINIAODSIM,182123200,1,831.76,0.0045670184,,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,powhegv2,none,isreHLT
ttbar,/TT_TuneCUETP8M1_13TeV-powheg-pythia8/RunIISpring16MiniAODv2-PUSpring16_RECODEBUG_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext3-v1/MINIAODSIM,187157,1,831.76,4.4441832259,,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,powhegv2,none,isreHLT
ttbar,/TT_TuneCUETP8M1_13TeV-powheg-scaledown-pythia8/RunIISpring16MiniAODv1-PUSpring16_80X_mcRun2_asymptotic_2016_v3-v1/MINIAODSIM,9942427,1,831.76,0.0836576421,,80X_mcRun2_asymptotic_2016_v3,mc,powhegv2,none,isreHLT
ttbar,/TT_TuneCUETP8M1_13TeV-powheg-scaledown-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,9942427,1,831.76,0.0836576421,,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,powhegv2,none,isreHLT
ttbar,/TT_TuneCUETP8M1_13TeV-powheg-scaleup-pythia8/RunIISpring16MiniAODv1-PUSpring16_80X_mcRun2_asymptotic_2016_v3-v1/MINIAODSIM,9862076,1,831.76,0.0843392405,,80X_mcRun2_asymptotic_2016_v3,mc,powhegv2,none,isreHLT
ttbar,/TT_TuneCUETP8M1_13TeV-powheg-scaleup-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,9933327,1,831.76,0.0837342816,,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,powhegv2,none,isreHLT
ttbar,/TT_TuneCUETP8M1_alphaS01273_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,11076868,1,831.76,0.0750898178,,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,MG_aMCatNLO MLM,none,isreHLT
ttbar,/TT_TuneCUETP8M1_alphaS01273_13TeV-powheg-pythia8/RunIISpring16MiniAODv1-PUSpring16_80X_mcRun2_asymptotic_2016_v3-v1/MINIAODSIM,34387200,1,831.76,0.02418807,,80X_mcRun2_asymptotic_2016_v3,mc,powhegv2,none,isreHLT
ttbar,/TT_TuneCUETP8M1_alphaS01273_13TeV-powheg-pythia8/RunIISpring16MiniAODv2-PUSpring16_RECODEBUG_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,200000,1,831.76,4.1588,,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,powhegv2,none,isreHLT
ttbar,/TT_TuneCUETP8M1_alphaS01273_13TeV-powheg-scaledown-pythia8/RunIISpring16MiniAODv1-PUSpring16_80X_mcRun2_asymptotic_2016_v3-v3/MINIAODSIM,9179200,1,831.76,0.0906135611,,80X_mcRun2_asymptotic_2016_v3,mc,powhegv2,none,isreHLT
