name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData,generator,additionalSelection
ttbar_incl_SL_scaledown,"/TT_TuneCUETP8M1_13TeV-powheg-scaledown-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,/TT_TuneCUETP8M1_13TeV-powheg-scaledown-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12_ext3-v1/MINIAODSIM",21634582.074,1,364.31088,0.0051290727,/TT_TuneCUETP8M1_13TeV-powheg-scaledown-pythia8/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,POWHEG,GenTopSLSelection
ttbar_incl_DL_scaledown,"/TT_TuneCUETP8M1_13TeV-powheg-scaledown-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,/TT_TuneCUETP8M1_13TeV-powheg-scaledown-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12_ext3-v1/MINIAODSIM",5186372.415,1,87.3348,0.0025191514,/TT_TuneCUETP8M1_13TeV-powheg-scaledown-pythia8/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,POWHEG,GenTopDLSelection
ttbar_incl_FH_scaledown,"/TT_TuneCUETP8M1_13TeV-powheg-scaledown-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,/TT_TuneCUETP8M1_13TeV-powheg-scaledown-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12_ext3-v1/MINIAODSIM",22573068.511,1,380.11432,0.0168392844,/TT_TuneCUETP8M1_13TeV-powheg-scaledown-pythia8/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,POWHEG,GenTopFHSelection
ttbar_excl_SL_scaleup,/TTToSemiLeptonic_13TeV_ScaleUp-powheg/RunIIFall15MiniAODv1-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,96055779,1,364.31088,0.0031066751,/TTToSemiLeptonic_13TeV_ScaleUp-powheg/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,POWHEG,NONE
ttbar_excl_SL_scaledown,/TTToSemiLeptonic_13TeV_ScaleDown-powheg/RunIIFall15MiniAODv1-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,49394023,1,364.31088,0.0051290727,/TTToSemiLeptonic_13TeV_ScaleDown-powheg/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,POWHEG,NONE
ttbar_excl_DL_scaleup,/TTTo2L2Nu_13TeV_ScaleUp-powheg/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,29671200,1,87.3348,0.0025127896,/TTTo2L2Nu_13TeV_ScaleUp-powheg/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,POWHEG,NONE
ttbar_excl_DL_scaledown,/TTTo2L2Nu_13TeV_ScaleDown-powheg/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,29481968,1,87.3348,0.0025191514,/TTTo2L2Nu_13TeV_ScaleDown-powheg/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,POWHEG,NONE
,,,,,,,,,,
Zjets_m10to50,"/DYJetsToLL_M-10to50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,/DYJetsToLL_M-10to50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12_ext1-v1/MINIAODSIM,/DYJetsToLL_M-10to50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12_ext3-v1/MINIAODSIM",93034762,0.727,22635.09,0.183585629,/DYJetsToLL_M-10to50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,aMC,NONE
Zjets_m50toInf,"/DYJetsToLL_M-50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,/DYJetsToLL_M-50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12_ext1-v1/MINIAODSIM,/DYJetsToLL_M-50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12_ext4-v1/MINIAODSIM",151683436,0.6701,6025.2,0.05927802,/DYJetsToLL_M-50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,aMC,NONE
,,,,,,,,,,
st_tchan,/ST_t-channel_top_4f_leptonDecays_13TeV-powheg-pythia8_TuneCUETP8M1/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,3299200,1,45.34,0.0137281047,/ST_t-channel_top_4f_leptonDecays_13TeV-powheg-pythia8_TuneCUETP8M1/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,POWHEG,NONE
stbar_tchan,/ST_t-channel_antitop_4f_leptonDecays_13TeV-powheg-pythia8_TuneCUETP8M1/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,1630900,1,27.98,0.016555,/ST_t-channel_antitop_4f_leptonDecays_13TeV-powheg-pythia8_TuneCUETP8M1/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,POWHEG,NONE
,,,,,,,,,,
st_tWchan,/ST_tW_top_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,1000000,1,35.9,0.0359,/ST_tW_top_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,POWHEG,NONE
stbar_tWchan,/ST_tW_antitop_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,999400,1,35.9,0.035921553,/ST_tW_antitop_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,POWHEG,NONE
,,,,,,,,,,
st_schan,/ST_s-channel_4f_leptonDecays_13TeV-amcatnlo-pythia8_TuneCUETP8M1/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v2/MINIAODSIM,998400,0.62294,3.44,0.005531051,/ST_s-channel_4f_leptonDecays_13TeV-amcatnlo-pythia8_TuneCUETP8M1/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,aMC,NONE
,,,,,,,,,,
ttZ_hadr,/TTZToQQ_TuneCUETP8M1_13TeV-amcatnlo-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,747000,0.4687,0.611,0.001745121,/TTZToQQ_TuneCUETP8M1_13TeV-amcatnlo-pythia8/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,aMC,NONE
,,,,,,,,,,
