name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,skimmed_dataset,globalTag,isData,generator
wjets_ht600,/WjetsToLNu_HT-600To800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM:/WjetsToLNu_HT-600To800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,18687480,1,12.05,0.00064,/WJetsToLNu_HT-600To800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/hmildner-Skim_3j20_1l20-06e3217e4d881441050d61cf53a784f5/USER,80X_mcRun2_asymptotic_2016_TrancheIV_v7,FALSE,NA
wjets_ht800,/WjetsToLNu_HT-800To1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM:/WjetsToLNu_HT-800To1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,7745467,1,5.501,0.00071,/WJetsToLNu_HT-800To1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/hmildner-Skim_3j20_1l20-06e3217e4d881441050d61cf53a784f5/USER,80X_mcRun2_asymptotic_2016_TrancheIV_v7,FALSE,NA
wjets_ht1200,/WjetsToLNu_HT-1200To2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM:/WjetsToLNu_HT-1200To2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM,6872441,1,1.329,0.00019,/WJetsToLNu_HT-1200To2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/hmildner-Skim_3j20_1l20-06e3217e4d881441050d61cf53a784f5/USER,80X_mcRun2_asymptotic_2016_TrancheIV_v7,FALSE,NA
wjets_ht2500,/WjetsToLNu_HT-2500ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM:/WjetsToLNu_HT-2500ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,2637821,1,0.03216,0.0000122,/WJetsToLNu_HT-2500ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/hmildner-Skim_3j20_1l20-06e3217e4d881441050d61cf53a784f5/USER,80X_mcRun2_asymptotic_2016_TrancheIV_v7,FALSE,NA
zjets_m10,/DYJetsToLL_M-10to50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,35291566,1,18610,0.52732,/DYJetsToLL_M-10to50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/hmildner-Skim_3j20_1l20-06e3217e4d881441050d61cf53a784f5/USER,80X_mcRun2_asymptotic_2016_TrancheIV_v7,FALSE,NA
zjets_m50,/DYJetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v2/MINIAODSIM,49144274,1,5765.4,0.11732,/DYJetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/hmildner-Skim_3j20_1l20-06e3217e4d881441050d61cf53a784f5/USER,80X_mcRun2_asymptotic_2016_TrancheIV_v7,FALSE,NA
data_el,/SingleElectron/Run2016C-23Sep2016-v1/MINIAOD:/SingleElectron/Run2016D-23Sep2016-v1/MINIAOD:/SingleElectron/Run2016E-23Sep2016-v1/MINIAOD:/SingleElectron/Run2016F-23Sep2016-v1/MINIAOD:/SingleElectron/Run2016G-23Sep2016-v1/MINIAOD,1,-1,1,/SingleElectron/hmildner-Skim_fixed2_3j20_1l20-dadd049d00fa0c44d7211d484b1b9995/USER,80X_dataRun2_2016SeptRepro_v6,TRUE,NA
data_el_prompt,/SingleElectron/Run2016C-23Sep2016-v1/MINIAOD:/SingleElectron/Run2016D-23Sep2016-v1/MINIAOD:/SingleElectron/Run2016E-23Sep2016-v1/MINIAOD:/SingleElectron/Run2016F-23Sep2016-v1/MINIAOD:/SingleElectron/Run2016G-23Sep2016-v1/MINIAOD,97259854,1,-1,1,/SingleElectron/hmildner-Skim_fixed2_prompt_3j20_1l20-3d7b0694be99324a21d6777a1f225210/USER,80X_dataRun2_Prompt_v15,TRUE,NA
data_el_runB,/SingleElectron/Run2016B-23Sep2016-v3/MINIAOD,97259854,1,-1,1,/SingleElectron/hmildner-Skim_fixed3_3j20_1l20-dadd049d00fa0c44d7211d484b1b9995/USER,80X_dataRun2_2016SeptRepro_v6,TRUE,NA
data_mu,/SingleMuon/Run2016B-23Sep2016-v3/MINIAOD:/SingleMuon/Run2016C-23Sep2016-v1/MINIAOD:/SingleMuon/Run2016D-23Sep2016-v1/MINIAOD:/SingleMuon/Run2016E-23Sep2016-v1/MINIAOD:/SingleMuon/Run2016F-23Sep2016-v1/MINIAOD:/SingleMuon/Run2016G-23Sep2016-v1/MINIAOD,67441308,1,-1,1,/SingleMuon/hmildner-Skim_fixed2_3j20_1l20-dadd049d00fa0c44d7211d484b1b9995/USER,80X_dataRun2_2016SeptRepro_v6,TRUE,NA
data_mu_prompt,/SingleMuon/Run2016H-PromptReco-v2/MINIAOD:/SingleMuon/Run2016H-PromptReco-v3/MINIAOD,67441308,1,-1,1,/SingleMuon/hmildner-Skim_fixed2_prompt_3j20_1l20-3d7b0694be99324a21d6777a1f225210/USER,80X_dataRun2_Prompt_v15,TRUE,NA
