name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData
,,,,,,,,
ttHbb,/ttHTobb_M125_13TeV_powheg_pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,3933404,1,0.2934,0.000074592,/ttHTobb_M125_13TeV_powheg_pythia8/hmildner-Boostedv2MiniAOD-0a4412ecfa79a69110c9e2e6cea4fece/USER,74X_mcRun2_asymptotic_v2,FALSE
ttHnonbb,/ttHToNonbb_M125_13TeV_powheg_pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,3913550,1,0.2151,0.000054963,/ttHToNonbb_M125_13TeV_powheg_pythia8/hmildner-Boostedv2MiniAOD-0a4412ecfa79a69110c9e2e6cea4fece/USER,74X_mcRun2_asymptotic_v2,FALSE
,,,,,,,,
st_tchan,/ST_t-channel_top_4f_leptonDecays_13TeV-powheg-pythia8_TuneCUETP8M1/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,3299800,1,136.02,0.04122,/ST_t-channel_top_4f_leptonDecays_13TeV-powheg-pythia8_TuneCUETP8M1/hmildner-Boostedv2MiniAOD-0a4412ecfa79a69110c9e2e6cea4fece/USER,74X_mcRun2_asymptotic_v2,FALSE
stbar_tchan,/ST_t-channel_antitop_4f_leptonDecays_13TeV-powheg-pythia8_TuneCUETP8M1/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,1680200,1,80.95,0.04818,/ST_t-channel_antitop_4f_leptonDecays_13TeV-powheg-pythia8_TuneCUETP8M1/hmildner-Boostedv2MiniAOD-0a4412ecfa79a69110c9e2e6cea4fece/USER,74X_mcRun2_asymptotic_v2,FALSE
,,,,,,,,
st_tWchan,/ST_tW_top_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,995600,1,35.9,0.03606,/ST_tW_top_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1/hmildner-Boostedv2MiniAOD-0a4412ecfa79a69110c9e2e6cea4fece/USER,74X_mcRun2_asymptotic_v2,FALSE
stbar_tWchan,/ST_tW_antitop_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,988500,1,35.9,0.03632,/ST_tW_antitop_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1/hmildner-Boostedv2MiniAOD-0a4412ecfa79a69110c9e2e6cea4fece/USER,74X_mcRun2_asymptotic_v2,FALSE
,,,,,,,,
st_schan,/ST_s-channel_4f_leptonDecays_13TeV-amcatnlo-pythia8_TuneCUETP8M1/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,984400,0.6231,10.32,0.016825,/ST_s-channel_4f_leptonDecays_13TeV-amcatnlo-pythia8_TuneCUETP8M1/hmildner-Boostedv2MiniAOD-0a4412ecfa79a69110c9e2e6cea4fece/USER,74X_mcRun2_asymptotic_v2,FALSE
,,,,,,,,
ttZ_hadr,/TTZToQQ_TuneCUETP8M1_13TeV-amcatnlo-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,749800,0.4687,0.611,0.001739,/TTZToQQ_TuneCUETP8M1_13TeV-amcatnlo-pythia8/hmildner-Boostedv2MiniAOD-0a4412ecfa79a69110c9e2e6cea4fece/USER,74X_mcRun2_asymptotic_v2,FALSE
ttZ_lept,/TTZToLLNuNu_M-10_TuneCUETP8M1_13TeV-amcatnlo-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,,0.4648,0.263,,,,
,,,,,,,,
ttW_hadr,/TTWJetsToQQ_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,833964,0.516,0.435,0.001011,/TTWJetsToQQ_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8/hmildner-Boostedv2MiniAOD-0a4412ecfa79a69110c9e2e6cea4fece/USER,74X_mcRun2_asymptotic_v2,FALSE
ttW_lept,/TTWJetsToLNu_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,252908,0.5134,0.21,0.001617,/TTWJetsToLNu_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8/hmildner-Boostedv2MiniAOD-0a4412ecfa79a69110c9e2e6cea4fece/USER,74X_mcRun2_asymptotic_v2,FALSE
,,,,,,,,
Wjets,/WjetsToLNu_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,72207128,1,61526.7,0.85209,/WJetsToLNu_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/hmildner-Boostedv2MiniAOD-0a4412ecfa79a69110c9e2e6cea4fece/USER,74X_mcRun2_asymptotic_v2,FALSE
Zjets_m50toInf,/DYJetsToLL_M-50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,28747969,0.6699,6025.2,0.312863,/DYJetsToLL_M-50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/hmildner-Boostedv2MiniAOD-0a4412ecfa79a69110c9e2e6cea4fece/USER,74X_mcRun2_asymptotic_v2,FALSE
Zjets_m10to50,/DYJetsToLL_M-10to50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,30021559,0.7276,22635.09,1.03623,/DYJetsToLL_M-10to50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/hmildner-Boostedv2MiniAOD-0a4412ecfa79a69110c9e2e6cea4fece/USER,74X_mcRun2_asymptotic_v2,FALSE
,,,,,,,,
WW,/WW_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,,1,118.7,,,,FALSE
WZ,/WZ_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,,1,44.9,,,,FALSE
ZZ,/ZZ_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,,1,15.4,,,,FALSE
,,,,,,,,
ttbar,"/TT_TuneCUETP8M1_13TeV-powheg-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM, /TT_TuneCUETP8M1_13TeV-powheg-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2_ext3-v1/MINIAODSIM, ",116591749,1,831.76,0.007134,/TT_TuneCUETP8M1_13TeV-powheg-pythia8/hmildner-Boostedv2MiniAOD-0a4412ecfa79a69110c9e2e6cea4fece/USER,74X_mcRun2_asymptotic_v2,FALSE
,,,,,,,,
mu_prompt,,,,,1,/SingleMuon/hmildner-Boostedv2MiniAODOct19Prompt-c5c05ee6aa4bad7cbd5301ab66fa3ca6/USER,74X_dataRun2_Prompt_v4,TRUE
mu_reminiaod,,,,,1,/SingleMuon/hmildner-Boostedv2MiniAODOct5-c5c05ee6aa4bad7cbd5301ab66fa3ca6/USER,74X_dataRun2_reMiniAOD_v0,TRUE
el_prompt,,,,,1,/SingleElectron/hmildner-Boostedv2MiniAODOct19Prompt-c5c05ee6aa4bad7cbd5301ab66fa3ca6/USER,74X_dataRun2_Prompt_v4,TRUE
el_reminiaod,,,,,1,/SingleElectron/hmildner-Boostedv2MiniAODOct5-c5c05ee6aa4bad7cbd5301ab66fa3ca6/USER,74X_dataRun2_reMiniAOD_v0,TRUE
