name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData
WZ,/WZ_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,978512,1,44.9,0.045886,/WZ_TuneCUETP8M1_13TeV-pythia8/hmildner-Boostedv3MiniAOD-48d296d5134b571af584b706fd9b3b0a/USER,74X_mcRun2_asymptotic_v4,FALSE
ZZ,/ZZ_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,996944,1,15.4,0.01544721,/ZZ_TuneCUETP8M1_13TeV-pythia8/hmildner-Boostedv3MiniAOD-48d296d5134b571af584b706fd9b3b0a/USER,74X_mcRun2_asymptotic_v4,FALSE
,,,,,,,,,
ttbar,"/TT_TuneCUETP8M1_13TeV-powheg-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM, /TT_TuneCUETP8M1_13TeV-powheg-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2_ext3-v1/MINIAODSIM, ",116591749,1,831.76,0.00713395,/TT_TuneCUETP8M1_13TeV-powheg-pythia8/hmildner-Boostedv3MiniAOD-48d296d5134b571af584b706fd9b3b0a/USER,74X_mcRun2_asymptotic_v4,FALSE
ttbar_scaledown,/TT_TuneCUETP8M1_13TeV-powheg-scaledown-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,9860774,1,831.76,0.08435038,/TT_TuneCUETP8M1_13TeV-powheg-scaledown-pythia8/hmildner-Boostedv3MiniAOD-48d296d5134b571af584b706fd9b3b0a/USER,74X_mcRun2_asymptotic_v4,FALSE
ttbar_scaleup,/TT_TuneCUETP8M1_13TeV-powheg-scaleup-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,9921174,1,831.76,0.08383685,/TT_TuneCUETP8M1_13TeV-powheg-scaleup-pythia8/hmildner-Boostedv3MiniAOD-48d296d5134b571af584b706fd9b3b0a/USER,74X_mcRun2_asymptotic_v4,FALSE
,,,,,,,,,
mu_reminiaod,/SingleMuon/Run2015D-05Oct2015-v1/MINIAOD,,,,1,/SingleMuon/hmildner-Boostedv3reMiniAODsilver-0aa107a76366aadf4b88f3ad01364d10/USER,74X_dataRun2_v5,TRUE
mu_prompt,/SingleMuon/Run2015D-PromptReco-v4/MINIAOD,,,,1,/SingleMuon/hmildner-Boostedv3MiniAODsilver-0aa107a76366aadf4b88f3ad01364d10/USER,74X_dataRun2_v5,TRUE
el_reminiaod,/SingleElectron/Run2015D-05Oct2015-v1/MINIAOD,,,,1,/SingleElectron/hmildner-Boostedv3reMiniAODsilver-0aa107a76366aadf4b88f3ad01364d10/USER,74X_dataRun2_v5,TRUE
el_prompt,/SingleElectron/Run2015D-PromptReco-v4/MINIAOD,,,,1,/SingleElectron/hmildner-Boostedv3MiniAODsilver-0aa107a76366aadf4b88f3ad01364d10/USER,74X_dataRun2_v5,TRUE
,,,,,,,,,
QCD-HT-100-200,/QCD_HT100to200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,81637494,1,27850000,336.85502399,/QCD_HT100to200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/hmildner-Boostedv3MiniAOD-48d296d5134b571af584b706fd9b3b0a/USER,74X_mcRun2_asymptotic_v4,FALSE
QCD-HT-200-300,/QCD_HT200to300_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,18718905,1,1717000,92.95415517,/QCD_HT200to300_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/hmildner-Boostedv3MiniAOD-48d296d5134b571af584b706fd9b3b0a/USER,74X_mcRun2_asymptotic_v4,FALSE
QCD-HT-300-500,/QCD_HT300to500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,19826197,1,351300,18.51086217,/QCD_HT300to500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/hmildner-Boostedv3MiniAOD-48d296d5134b571af584b706fd9b3b0a/USER,74X_mcRun2_asymptotic_v4,FALSE
QCD-HT-500-700,/QCD_HT500to700_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,19664159,1,31630,1.49510589,/QCD_HT500to700_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/hmildner-Boostedv3MiniAOD-48d296d5134b571af584b706fd9b3b0a/USER,74X_mcRun2_asymptotic_v4,FALSE
